nome,cpf,idade,data,endereco,bairro,estado
Pedro Henrique Cunha,584.***.***-00,,,"condomínio bruna mendes, 55",pongelupe,CE
Sra. Eloah Da Mota,901.***.***-03,,,"loteamento freitas, 30",primeiro de maio,SP
Samuel Da Rocha,159.***.***-97,,,"trecho de freitas, 8",vila piratininga venda nova,TO
Melissa Almeida,705.***.***-92,,,"alameda de da rosa, 2",são salvador,PE
Carlos Eduardo Da Mota,894.***.***-20,,,"largo juliana barbosa, 182",concórdia,RN
Dr. Vitor Da Mota,789.***.***-28,,,viela de da paz,minaslandia,PE
Dr. Diogo Costela,962.***.***-73,,,"passarela joão lucas nogueira, 753",são pedro,PE
Rafaela Rodrigues,578.***.***-60,,,"campo vinicius silva, 27",lagoinha,AC
Vitor Hugo Da Conceição,716.***.***-55,,,"viaduto de castro, 65",jardim vitoria,RR
Ana Laura Caldeira,518.***.***-73,,,"estrada de rocha, 305",lourdes,PE
Dra. Laura Silveira,472.***.***-49,,,"pátio lopes, 1",varzea da palma,AM
Sr. Rafael Pereira,492.***.***-79,,,"recanto gustavo pereira, 77",santo antônio,PE
Manuela Mendes,518.***.***-60,,,"largo kevin barbosa, 2",vila da ária,MG
Igor Lopes,073.***.***-22,,,recanto azevedo,vila cloris,CE
Marcelo Moreira,346.***.***-87,,,"trecho igor barros, 77",mariano de abreu,ES
Thomas Costela,428.***.***-22,,,alameda de pinto,pousada santo antonio,RS
Luiz Otávio Gonçalves,637.***.***-90,,,"trevo rezende, 51",bela vitoria,MG
Stella Da Costa,063.***.***-07,,,"estação de freitas, 32",corumbiara,RR
Luana Da Cruz,083.***.***-86,,,distrito rocha,luxemburgo,CE
Maria Cecília Lima,132.***.***-89,,,"recanto silveira, 47",olhos d'água,ES
Melissa Teixeira,642.***.***-78,,,"residencial de pires, 28",laranjeiras,RS
Dr. Vinicius Pires,163.***.***-10,,,"distrito de lopes, 397",alto dos pinheiros,MS
Luiz Miguel Farias,962.***.***-00,,,"feira cardoso, 21",conjunto minas caixa,RN
Breno Correia,148.***.***-67,,,"conjunto daniel fernandes, 403",garças,GO
Laís Costela,306.***.***-53,,,"parque maitê santos, 42",boa viagem,RS
Dr. Diego Da Mata,293.***.***-41,,,"quadra de da mota, 62",alto caiçaras,MG
Letícia Da Mota,852.***.***-02,,,"viaduto jesus, 11",conjunto jatoba,DF
Luna Ferreira,843.***.***-14,,,"alameda anthony fogaça, 11",mantiqueira,RS
Dr. Emanuel Silveira,430.***.***-80,,,"quadra de fogaça, 28",pantanal,PI
Lorena Sales,263.***.***-15,,,fazenda caldeira,satelite,AM
Davi Da Mata,846.***.***-39,,,vila alves,jardim atlântico,DF
Isabel Melo,748.***.***-09,,,"feira enrico nogueira, 1",itaipu,PB
Raul Oliveira,298.***.***-64,,,"rua pedro miguel da luz, 95",nossa senhora do rosário,PA
Levi Da Mata,192.***.***-32,,,vila de da mata,cônego pinheiro 2ª seção,CE
Heloísa Castro,587.***.***-44,,,"sítio de cardoso, 88",acaiaca,RS
Sra. Júlia Da Paz,046.***.***-74,,,"jardim maria sophia ferreira, 95",vila nova paraíso,CE
Luana Viana,213.***.***-21,,,"praça de castro, 980",ernesto nascimento,SE
Sr. Renan Sales,364.***.***-83,,,"praça olivia silveira, 49",novo das industrias,AC
Caio Aragão,714.***.***-62,,,"área de barros, 86",boa esperança,RN
Srta. Lavínia Ribeiro,263.***.***-51,,,"alameda gustavo henrique gonçalves, 50",beija flor,RJ
Sofia Da Mata,806.***.***-84,,,"jardim de lopes, 7",planalto,AM
André Araújo,819.***.***-13,,,"alameda de da mota, 94",vila paquetá,CE
Nathan Azevedo,285.***.***-82,,,"lagoa milena ramos, 4",caiçara - adelaide,AM
Camila Teixeira,982.***.***-40,,,"setor da cunha, 39",jardim montanhês,RJ
Srta. Clara Souza,510.***.***-71,,,"área peixoto, 32",flavio de oliveira,SE
Yuri Nascimento,129.***.***-73,,,"vereda matheus azevedo, 2",serrano,AC
Srta. Marcela Gonçalves,148.***.***-87,,,"praia raul campos, 12",conjunto providencia,CE
João Ramos,936.***.***-87,,,"jardim enzo da paz, 47",vila ouro minas,PR
Renan Rocha,720.***.***-92,,,"vale oliveira, 22",nova suíça,RS
Sr. Caio Souza,453.***.***-33,,,"conjunto maria vitória da cunha, 59",serra do curral,MG
Clarice Farias,743.***.***-22,,,"alameda maria fernanda castro, 87",maravilha,PI
Marcos Vinicius Jesus,597.***.***-00,,,"praça de moraes, 588",nova america,PA
João Pedro Nunes,910.***.***-42,,,"jardim de ramos, 69",vila nova gameleira 3ª seção,PA
Levi Farias,659.***.***-52,,,"quadra mendes, 42",vila pinho,GO
Dr. Enzo Da Costa,791.***.***-75,,,"campo marcela silveira, 66",álvaro camargos,AM
Heloísa Alves,029.***.***-79,,,"fazenda de moraes, 637",buraco quente,PR
Luiz Henrique Da Mota,842.***.***-91,,,"recanto alves, 105",saudade,RR
Camila Caldeira,903.***.***-03,,,"lago jesus, 71",frei leopoldo,MA
Arthur Mendes,918.***.***-05,,,esplanada cauã teixeira,jardim américa,SP
João Felipe Campos,362.***.***-06,,,"praia heitor castro, 6",jardim leblon,MS
Guilherme Azevedo,174.***.***-16,,,"viela benjamin campos, 1",pompéia,CE
Dra. Laura Cunha,364.***.***-50,,,"núcleo castro, 7",maria helena,BA
Noah Moraes,108.***.***-12,,,"estrada lucas gabriel caldeira, 856",joão pinheiro,MG
Davi Lucca Lopes,260.***.***-90,,,"trecho freitas, 427",alto dos pinheiros,AP
Sophia Da Cruz,621.***.***-15,,,via ribeiro,flavio de oliveira,PR
Igor Da Luz,740.***.***-85,,,"lago silva, 75",vila oeste,AC
Dr. Samuel Nascimento,692.***.***-73,,,"travessa duarte, 59",brasil industrial,RO
Maria Fernanda Freitas,968.***.***-28,,,favela sarah porto,conjunto são francisco de assis,DF
Eduarda Costa,206.***.***-68,,,"morro enzo gabriel teixeira, 84",mirtes,RS
Lorenzo Monteiro,069.***.***-20,,,"área da mota, 13",minas caixa,AP
Caroline Cardoso,618.***.***-17,,,"viaduto de moreira, 1",vera cruz,DF
Henrique Da Rocha,329.***.***-99,,,"núcleo luiz gustavo costela, 99",juliana,SE
Lucas Gabriel Oliveira,743.***.***-38,,,via araújo,são cristóvão,SE
Sr. Arthur Jesus,418.***.***-93,,,lago de cardoso,santa cecilia,MG
Marcos Vinicius Da Cunha,572.***.***-43,,,viaduto de cardoso,inconfidência,PA
Antônio Nogueira,061.***.***-71,,,"quadra de da mata, 49",ouro minas,MT
Sophia Monteiro,601.***.***-15,,,"núcleo araújo, 155",lindéia,PA
Dr. Leandro Silva,497.***.***-85,,,"estação silva, 18",serra,AM
Amanda Farias,185.***.***-08,,,"praia lavínia moraes, 29",conjunto jatoba,RJ
Srta. Luna Peixoto,912.***.***-23,,,"fazenda rafaela costela, 37",havaí,CE
Sr. Igor Campos,183.***.***-62,,,"fazenda ferreira, 849",lagoa,AP
Maria Sophia Correia,948.***.***-75,,,"residencial alana dias, 51",vitoria,TO
Bruno Da Cruz,293.***.***-73,,,"rua evelyn da cunha, 2",alta tensão 1ª seção,ES
Amanda Cavalcanti,351.***.***-00,,,"fazenda de duarte, 99",são sebastião,AC
Bruno Melo,721.***.***-52,,,"trevo de da costa, 7",esplanada,AC
Dra. Elisa Nunes,875.***.***-05,,,"vale erick moreira, 48",vila nova cachoeirinha 2ª seção,AP
Calebe Ramos,942.***.***-40,,,"parque de moraes, 36",gutierrez,TO
Sr. Arthur Moraes,306.***.***-87,,,"passarela lima, 87",jatobá,RJ
Júlia Silveira,913.***.***-57,,,pátio vitor gabriel rocha,são joão batista,SC
Sra. Isabelly Silva,732.***.***-00,,,"rodovia agatha lopes, 7",vila são gabriel,DF
Dr. Otávio Azevedo,457.***.***-30,,,"aeroporto de ferreira, 2",santa helena,CE
Maria Cecília Aragão,264.***.***-49,,,"trevo aragão, 535",salgado filho,GO
Noah Da Rosa,742.***.***-22,,,"avenida ferreira, 7",antonio ribeiro de abreu 1ª seção,DF
Sra. Laura Azevedo,540.***.***-71,,,viaduto marcelo ramos,universo,SP
Dr. Francisco Moreira,702.***.***-08,,,"núcleo silva, 7",jaraguá,CE
Mariane Das Neves,912.***.***-05,,,"rodovia de freitas, 782",parque são josé,SC
Enzo Monteiro,309.***.***-56,,,"quadra silveira, 76",joão paulo ii,MG
Diego Da Rocha,093.***.***-83,,,"conjunto da rosa, 22",pindura saia,MS
Ana Laura Da Cruz,798.***.***-49,,,parque rodrigues,vila da amizade,RO
Ana Sophia Gomes,384.***.***-46,,,"lagoa porto, 44",unidas,GO
Ana Laura Costa,502.***.***-85,,,"vila sales, 913",bela vitoria,SP
Felipe Souza,187.***.***-84,,,"setor peixoto, 47",palmeiras,SE
Luana Novaes,287.***.***-87,,,"parque luiz gustavo da conceição, 34",santa margarida,RS
Sra. Yasmin Nogueira,360.***.***-15,,,"lago de rocha, 482",belmonte,PE
Benício Melo,904.***.***-67,,,recanto maitê pereira,vila suzana primeira seção,DF
Daniela Aragão,726.***.***-53,,,"feira otávio pereira, 93",piraja,RR
Davi Luiz Sales,740.***.***-13,,,"trecho joão gabriel pires, 64",nova pampulha,RS
Milena Souza,904.***.***-70,,,"praça de ribeiro, 9",santa inês,SP
Maria Eduarda Ferreira,438.***.***-60,,,passarela de caldeira,vila sesc,AP
Sr. Diogo Lima,302.***.***-00,,,estrada danilo monteiro,conjunto califórnia ii,BA
Dr. Carlos Eduardo Araújo,496.***.***-47,,,"rodovia sophia rodrigues, 88",vila independencia 2ª seção,RR
Marina Gomes,934.***.***-00,,,lagoa souza,copacabana,ES
Gustavo Henrique Duarte,254.***.***-60,,,"área ana sophia pereira, 32",minas caixa,TO
Caio Ramos,832.***.***-73,,,"viaduto de sales, 92",buraco quente,AL
Rafael Nunes,462.***.***-19,,,"núcleo monteiro, 504",são bernardo,TO
Enzo Gabriel Cardoso,726.***.***-67,,,núcleo ribeiro,vila nova cachoeirinha 1ª seção,PE
Davi Cardoso,065.***.***-90,,,"praça ana júlia rezende, 38",vila coqueiral,PA
Daniel Pires,274.***.***-47,,,"avenida bruna rodrigues, 724",diamante,ES
Brenda Da Mata,532.***.***-19,,,"pátio rocha, 75",havaí,AC
Samuel Dias,852.***.***-24,,,"viaduto enzo gabriel moreira, 72",vila real 2ª seção,CE
Gustavo Henrique Da Costa,917.***.***-50,,,"residencial ribeiro, 60",flamengo,RO
Theo Fogaça,091.***.***-05,,,"travessa cardoso, 95",alta tensão 1ª seção,MT
Sra. Alexia Carvalho,483.***.***-71,,,quadra lorenzo pires,vila olhos d'água,AC
Juliana Martins,432.***.***-56,,,campo de souza,vila jardim são josé,RR
Luiz Gustavo Da Rosa,280.***.***-97,,,"via de da paz, 5",dona clara,AL
Gabriela Freitas,367.***.***-26,,,"trevo carvalho, 9",grajaú,BA
Enzo Gabriel Vieira,812.***.***-76,,,travessa novaes,boa vista,TO
Srta. Luna Nascimento,815.***.***-60,,,"passarela de nascimento, 916",joão paulo ii,AL
Sophie Da Mata,971.***.***-97,,,"avenida de almeida, 78",vila atila de paiva,AL
Clarice Alves,973.***.***-65,,,avenida heloísa costa,cabana do pai tomás,AC
Catarina Rodrigues,138.***.***-84,,,"núcleo farias, 97",lourdes,RR
Antônio Vieira,017.***.***-53,,,"favela de lopes, 473",lagoinha leblon,PR
Dr. Nicolas Da Conceição,105.***.***-80,,,"quadra mariana costela, 87",grajaú,BA
Maria Alice Da Costa,290.***.***-92,,,"rua cardoso, 76",olhos d'água,MA
Sr. Lucca Martins,906.***.***-70,,,"pátio paulo da rosa, 93",belvedere,TO
João Pedro Costa,532.***.***-41,,,feira cardoso,conjunto minas caixa,RN
Maitê Gonçalves,034.***.***-20,,,"distrito giovanna rodrigues, 37",marieta 3ª seção,PR
Ana Laura Ferreira,326.***.***-74,,,estrada de ramos,garças,RO
Sabrina Da Mata,172.***.***-02,,,"viela de moraes, 56",vila maria,MS
Alexandre Das Neves,183.***.***-24,,,"área de novaes, 52",itapoa,ES
Isadora Da Cunha,471.***.***-31,,,"viaduto freitas, 622",jardim atlântico,PE
Dr. Luigi Fernandes,834.***.***-55,,,"distrito thomas pires, 77",bairro das indústrias ii,MT
Sr. Yago Cavalcanti,758.***.***-05,,,estrada melo,vila independencia 3ª seção,AM
Carolina Peixoto,396.***.***-96,,,"loteamento dias, 21",camponesa 1ª seção,RN
Ana Lívia Porto,067.***.***-44,,,"colônia vieira, 6",milionario,SE
Henrique Da Mata,896.***.***-74,,,"aeroporto vinicius rezende, 18",conjunto são francisco de assis,PR
Enrico Aragão,490.***.***-75,,,"praça almeida, 95",vila novo são lucas,AP
Milena Cavalcanti,523.***.***-70,,,"trecho kevin castro, 70",são geraldo,PR
Davi Lucca Melo,731.***.***-14,,,"passarela kamilly moreira, 704",cardoso,SP
Clarice Fernandes,192.***.***-73,,,"vereda jesus, 7",esplanada,SP
Dr. Luiz Fernando Das Neves,146.***.***-37,,,"viaduto de martins, 24",vila antena,RO
Caio Azevedo,428.***.***-82,,,"largo cardoso, 23",vila nova gameleira 2ª seção,AL
Enrico Novaes,457.***.***-38,,,"vila heloísa barbosa, 666",conjunto são francisco de assis,RN
Ana Clara Moreira,075.***.***-53,,,residencial de aragão,andiroba,SC
Enrico Ribeiro,965.***.***-66,,,"loteamento lopes, 2",vila satélite,CE
Evelyn Aragão,548.***.***-07,,,"estrada rebeca caldeira, 440",marçola,GO
Thales Moreira,406.***.***-07,,,quadra farias,jardim guanabara,RO
Heitor Mendes,097.***.***-61,,,lagoa de farias,alta tensão 2ª seção,AL
Sarah Nascimento,938.***.***-10,,,"largo de da costa, 400",vila jardim alvorada,CE
Sra. Yasmin Melo,510.***.***-49,,,"loteamento almeida, 821",conjunto santa maria,TO
Sr. Marcelo Costela,895.***.***-38,,,"chácara clarice da costa, 135",cardoso,BA
Maria Cecília Araújo,752.***.***-52,,,"distrito nathan melo, 3",universitário,PA
Enzo Gabriel Ribeiro,965.***.***-02,,,"recanto nunes, 87",vila união,AP
Miguel Da Rosa,168.***.***-03,,,"esplanada carvalho, 8",paulo vi,CE
Maria Vitória Ferreira,914.***.***-69,,,"lago lima, 6",providencia,SP
Sr. Vitor Gabriel Gomes,348.***.***-60,,,"vale costela, 49",jonas veiga,MT
Bianca Pinto,541.***.***-06,,,"lagoa sales, 43",vila santa monica 2ª seção,AL
Igor Melo,519.***.***-39,,,viaduto nogueira,grota,RO
Sra. Vitória Carvalho,528.***.***-38,,,"jardim fernanda moura, 767",cdi jatoba,AM
Sofia Duarte,412.***.***-28,,,"morro isaac freitas, 543",vila nova cachoeirinha 2ª seção,RR
Brenda Nogueira,160.***.***-33,,,"pátio de almeida, 4",mala e cuia,TO
Rafael Fogaça,569.***.***-68,,,"setor de da rosa, 401",nova vista,SP
Ana Nascimento,295.***.***-61,,,"chácara de martins, 14",nossa senhora do rosário,RN
Dr. Juan Da Rocha,475.***.***-80,,,"ladeira de da mota, 16",vila jardim leblon,MT
Ana Laura Rocha,531.***.***-70,,,"sítio thomas rodrigues, 41",são damião,AL
Maria Alice Da Rocha,906.***.***-22,,,"travessa de correia, 46",guarani,AC
Elisa Lopes,790.***.***-30,,,passarela alexandre da cunha,vila coqueiral,RR
Davi Lucca Pereira,597.***.***-60,,,"jardim de barros, 16",vila califórnia,CE
Marina Fogaça,410.***.***-20,,,"praça luiz henrique correia, 81",guaratã,PE
Bernardo Ramos,105.***.***-98,,,"lagoa luiza gonçalves, 979",piratininga,SE
Ana Lívia Lopes,971.***.***-02,,,"parque de barbosa, 57",anchieta,GO
Miguel Silva,920.***.***-00,,,"ladeira das neves, 9",nova floresta,PE
Sr. Arthur Da Cruz,693.***.***-38,,,lago de cavalcanti,vila betânia,TO
Julia Da Mota,571.***.***-20,,,"feira nogueira, 68",santo antônio,TO
Agatha Rocha,853.***.***-30,,,setor de dias,são benedito,RS
Isabel Cardoso,608.***.***-40,,,"campo da mata, 42",morro dos macacos,MG
Marcos Vinicius Moura,451.***.***-19,,,"parque dias, 687",paulo vi,PR
Levi Da Cunha,718.***.***-75,,,"colônia de viana, 6",pongelupe,SE
Cauã Vieira,427.***.***-61,,,via da mata,bernadete,RO
Maria Alice Ferreira,105.***.***-80,,,"praça de duarte, 194",guarani,MT
Dra. Isabelly Souza,725.***.***-30,,,"campo de moura, 60",primeiro de maio,RN
Heitor Rezende,174.***.***-39,,,"área duarte, 628",conjunto lagoa,RR
Maria Vitória Jesus,493.***.***-70,,,"sítio de moura, 13",paraíso,RS
Emanuel Duarte,762.***.***-76,,,"rua de fogaça, 71",ouro preto,AM
Ian Lima,163.***.***-66,,,"rua de martins, 9",união,AC
Vitor Alves,687.***.***-22,,,"esplanada ana laura oliveira, 667",ribeiro de abreu,DF
Rafael Ramos,946.***.***-84,,,"esplanada almeida, 4",vila fumec,PR
Ryan Da Cunha,412.***.***-52,,,morro de cardoso,camponesa 2ª seção,GO
Maria Da Cunha,539.***.***-06,,,residencial de duarte,vila união,PE
Srta. Milena Cardoso,832.***.***-40,,,"praça almeida, 71",capitão eduardo,RJ
Bryan Ramos,043.***.***-89,,,"praia costa, 35",jardim leblon,GO
Luigi Santos,273.***.***-52,,,"via luigi peixoto, 61",são gabriel,AP
Isabella Duarte,023.***.***-17,,,"estrada diogo da mata, 91",vila nova cachoeirinha 3ª seção,PI
Sophie Azevedo,214.***.***-49,,,"rua kaique freitas, 8",universo,RR
Matheus Carvalho,592.***.***-09,,,viela de almeida,união,RN
Júlia Da Cruz,714.***.***-39,,,lagoa joão pedro alves,das industrias i,PB
Vitor Peixoto,489.***.***-06,,,"trevo de cardoso, 40",vale do jatoba,RS
Amanda Castro,305.***.***-41,,,"favela erick pereira, 672",vila copacabana,AM
Lucas Lima,240.***.***-01,,,"vale igor castro, 928",maravilha,BA
Raquel Ramos,052.***.***-25,,,"vereda de costa, 27",madre gertrudes,RN
Dra. Rebeca Nascimento,431.***.***-37,,,"residencial nogueira, 954",vila oeste,PB
Theo Da Conceição,846.***.***-46,,,"fazenda maria ribeiro, 81",vila são paulo,SE
Thiago Da Cunha,631.***.***-24,,,"viela de aragão, 291",união,RJ
Davi Lucas Moreira,169.***.***-02,,,"estrada de da costa, 92",vila do pombal,PA
Helena Costela,950.***.***-68,,,"colônia de fogaça, 78",vila aeroporto jaraguá,AC
Beatriz Peixoto,243.***.***-96,,,"campo de moura, 904",alto caiçaras,PE
Luigi Fernandes,846.***.***-20,,,"estação igor cunha, 21",pilar,PB
Gabrielly Almeida,831.***.***-14,,,"estrada da conceição, 23",indaiá,MS
Samuel Sales,439.***.***-55,,,"morro de costela, 73",vila da luz,MG
Dr. Otávio Costa,095.***.***-59,,,"chácara da conceição, 2",juliana,BA
Srta. Ana Beatriz Da Mata,429.***.***-67,,,"feira de martins, 79",vitoria da conquista,PA
João Rodrigues,594.***.***-76,,,"colônia duarte, 56",marmiteiros,PE
Nathan Farias,521.***.***-32,,,"travessa joana gonçalves, 44",lajedo,AL
Dr. Rafael Pereira,581.***.***-55,,,"sítio isis campos, 81",distrito industrial do jatoba,AC
Júlia Pereira,871.***.***-12,,,lagoa santos,petropolis,MT
Dra. Laura Barbosa,031.***.***-04,,,"ladeira de moura, 84",nova suíça,RR
Juliana Pinto,385.***.***-93,,,"rodovia sales, 21",vila canto do sabiá,PI
Joana Monteiro,138.***.***-39,,,"parque de costela, 668",aguas claras,TO
Dr. Yago Da Rocha,698.***.***-28,,,"fazenda cavalcanti, 859",alto barroca,MT
Miguel Nogueira,869.***.***-22,,,quadra de ferreira,cenaculo,PI
Isadora Da Rocha,725.***.***-70,,,"via igor da mata, 81",laranjeiras,ES
Clara Costela,380.***.***-50,,,"trevo joão pedro araújo, 7",sagrada família,DF
Dr. Enzo Gabriel Rocha,473.***.***-61,,,"condomínio da cunha, 4",unidas,PA
Maysa Monteiro,615.***.***-44,,,"parque henrique teixeira, 32",grotinha,RR
Maria Alice Da Rosa,710.***.***-66,,,"vereda silveira, 8",bom jesus,RR
Maysa Lopes,196.***.***-76,,,"avenida de araújo, 28",esplanada,RS
Srta. Yasmin Jesus,586.***.***-44,,,"fazenda letícia costela, 6",petropolis,AM
Mariana Costela,372.***.***-00,,,"campo peixoto, 75",independência,SC
Clara Almeida,842.***.***-92,,,"parque eloah costa, 91",são geraldo,RS
Sofia Aragão,687.***.***-08,,,"rua de santos, 955",ambrosina,RS
Elisa Barros,546.***.***-20,,,"estrada sales, 13",jardim felicidade,RN
Joana Silva,349.***.***-57,,,chácara miguel fogaça,laranjeiras,PE
Lorenzo Porto,812.***.***-13,,,"avenida de araújo, 1",nossa senhora da aparecida,GO
Vitória Barbosa,583.***.***-77,,,"vale de monteiro, 267",marieta 2ª seção,ES
Alícia Da Rosa,035.***.***-51,,,"trecho luana barros, 338",santa maria,MG
Lucas Monteiro,739.***.***-75,,,"parque enzo almeida, 62",piratininga,AC
Rodrigo Caldeira,816.***.***-37,,,condomínio joana lima,piratininga,MT
Luna Rezende,456.***.***-57,,,"esplanada matheus da costa, 90",paulo vi,RN
Diogo Rezende,680.***.***-24,,,"residencial novaes, 84",vila da amizade,PI
Anthony Da Costa,805.***.***-21,,,"praia ian da mota, 383",nova cintra,RO
Maria Cecília Vieira,716.***.***-55,,,rodovia emanuel da cruz,nova esperança,PE
Sra. Maria Julia Novaes,019.***.***-01,,,"ladeira da cruz, 635",coqueiros,BA
João Pedro Peixoto,243.***.***-55,,,"trecho cavalcanti, 3",acaba mundo,PR
Alana Fernandes,198.***.***-09,,,"estação rocha, 975",marieta 2ª seção,SC
Sra. Mirella Rezende,247.***.***-50,,,"vale de cavalcanti, 98",vila havaí,ES
Gabrielly Moreira,608.***.***-62,,,"lago caldeira, 363",barão homem de melo 1ª seção,AM
Sra. Sofia Souza,605.***.***-48,,,"vila gomes, 366",serra,PB
Mariane Melo,735.***.***-77,,,"rodovia ana beatriz cardoso, 97",etelvina carneiro,PR
Lorena Souza,048.***.***-49,,,"vereda sales, 83",ouro minas,AL
Fernando Da Mata,280.***.***-08,,,"ladeira clara da cruz, 37",aparecida 7ª seção,PB
Laura Cardoso,821.***.***-17,,,"setor de costa, 1",nova america,ES
Marina Da Cruz,724.***.***-26,,,"avenida castro, 718",santo agostinho,PE
Maria Rocha,163.***.***-03,,,"recanto isabel da conceição, 6",vila madre gertrudes 4ª seção,RS
Pedro Henrique Almeida,318.***.***-57,,,"núcleo de rodrigues, 95",maria virgínia,AM
Dr. Davi Luiz Nunes,604.***.***-16,,,"setor de barros, 58",vila ouro minas,SP
Vitor Gabriel Costela,175.***.***-43,,,"praia pietra caldeira, 60",túnel de ibirité,GO
Dr. Luigi Barbosa,641.***.***-39,,,"quadra yasmin caldeira, 4",salgado filho,PE
Rodrigo Azevedo,687.***.***-75,,,praia de nogueira,califórnia,ES
Pedro Henrique Cardoso,324.***.***-04,,,"rua de castro, 65",vila jardim são josé,PA
Sr. João Cardoso,032.***.***-74,,,"pátio antônio da mota, 79",maria virgínia,PR
Maria Julia Nunes,381.***.***-35,,,setor de ferreira,lorena,RN
Fernanda Duarte,453.***.***-15,,,"vereda da rocha, 6",bandeirantes,MA
Marcos Vinicius Oliveira,280.***.***-95,,,"parque de azevedo, 8",lagoinha leblon,AL
Leandro Aragão,124.***.***-32,,,"campo gabriela rodrigues, 9",piraja,AC
Maria Alice Vieira,832.***.***-44,,,"via nogueira, 82",andiroba,SE
Ana Luiza Jesus,541.***.***-91,,,Endereço inválido,Desconhecido,Desconhecido
Guilherme Cardoso,197.***.***-21,,,"trevo nicole da cruz, 7",conjunto providencia,RS
Luiz Felipe Azevedo,439.***.***-52,,,"campo erick fernandes, 464",são benedito,AC
Nathan Araújo,813.***.***-89,,,quadra de martins,nazare,AM
Clara Ferreira,467.***.***-28,,,"fazenda de ferreira, 76",conjunto paulo vi,MS
Felipe Da Mata,634.***.***-69,,,"estrada gabrielly rocha, 634",ouro minas,PA
Enzo Gabriel Azevedo,789.***.***-48,,,"estação cardoso, 175",barão homem de melo 1ª seção,SC
Maitê Barbosa,231.***.***-07,,,"estrada duarte, 37",marmiteiros,MS
Srta. Isis Da Cruz,073.***.***-78,,,"praia moreira, 20",são jorge 2ª seção,TO
Otávio Da Mata,835.***.***-29,,,"largo de da cruz, 431",mangueiras,TO
Sophie Castro,165.***.***-09,,,"trevo de moraes, 78",bairro das indústrias ii,TO
Diogo Da Cunha,263.***.***-60,,,"distrito kaique costa, 17",novo glória,RJ
Benício Fernandes,389.***.***-77,,,"condomínio da cunha, 964",conjunto califórnia i,ES
João Pedro Silva,523.***.***-06,,,"praia de almeida, 38",vila nova gameleira 3ª seção,MG
Heloísa Cunha,260.***.***-83,,,"aeroporto santos, 94",ademar maldonado,PI
Bruno Novaes,190.***.***-93,,,"alameda de da mata, 18",barroca,MS
Levi Cavalcanti,291.***.***-55,,,"aeroporto aragão, 8",guarani,DF
João Pedro Lopes,407.***.***-96,,,"vereda daniel gonçalves, 6",bacurau,PB
Heloísa Da Luz,569.***.***-57,,,"conjunto de cunha, 63",estrela,SP
Lorena Gomes,298.***.***-65,,,"rodovia de cavalcanti, 47",capitão eduardo,AP
Milena Vieira,623.***.***-51,,,"loteamento thiago fernandes, 51",graça,PB
Milena Ramos,160.***.***-34,,,praça breno ribeiro,vista do sol,PB
Vitor Hugo Ramos,286.***.***-78,,,"viela alice nogueira, 65",olaria,MA
Ana Julia Nascimento,197.***.***-31,,,aeroporto cavalcanti,coqueiros,SE
Dr. Enrico Carvalho,254.***.***-00,,,travessa de santos,garças,MT
Vitor Hugo Cunha,701.***.***-39,,,"passarela isis porto, 38",capitão eduardo,PA
Dr. Samuel Moura,402.***.***-05,,,"parque daniel pinto, 7",vista alegre,MT
Luana Nascimento,314.***.***-50,,,"vila letícia da paz, 17",marajó,CE
Dra. Maria Vitória Viana,250.***.***-00,,,colônia de moura,morro dos macacos,PR
Sr. Calebe Duarte,936.***.***-04,,,"alameda joão pedro castro, 14",vila fumec,AM
Leonardo Costela,624.***.***-29,,,via de jesus,caetano furquim,MG
Benício Moreira,136.***.***-24,,,"feira marcos vinicius da cruz, 317",leonina,MA
Lucca Mendes,819.***.***-76,,,"via de ferreira, 44",cidade jardim,MG
Sophie Farias,741.***.***-00,,,"aeroporto de ribeiro, 65",mariquinhas,AM
Bruna Da Rocha,845.***.***-19,,,"loteamento otávio freitas, 74",camponesa 2ª seção,TO
Heitor Nascimento,493.***.***-84,,,área maria fernanda pinto,nova pampulha,MT
Rafael Porto,629.***.***-30,,,"alameda da mata, 64",vila boa vista,MG
Luiz Miguel Da Paz,647.***.***-80,,,"estrada de ribeiro, 73",buritis,MG
Srta. Pietra Duarte,913.***.***-04,,,"aeroporto de nascimento, 13",pongelupe,PR
Eloah Cunha,908.***.***-60,,,"chácara de costa, 62",aparecida,PI
Bruna Rodrigues,625.***.***-67,,,"campo da costa, 719",olaria,GO
Felipe Monteiro,172.***.***-68,,,"quadra de monteiro, 43",novo das industrias,CE
Isis Campos,178.***.***-41,,,estrada pereira,vila batik,PE
Vitor Novaes,586.***.***-08,,,"lagoa de da rocha, 60",jardim atlântico,PI
Yago Porto,907.***.***-01,,,"parque alícia cavalcanti, 234",vila piratininga,CE
Guilherme Campos,354.***.***-79,,,"largo de duarte, 24",barro preto,BA
Vitor Moraes,297.***.***-99,,,"campo enrico lima, 20",trevo,TO
João Gabriel Jesus,790.***.***-01,,,"favela martins, 7",barão homem de melo 2ª seção,ES
Dr. Vitor Hugo Rezende,796.***.***-58,,,"ladeira barros, 84",xodo-marize,AP
Dr. Arthur Carvalho,081.***.***-97,,,"jardim silveira, 35",dona clara,RR
Ryan Mendes,239.***.***-55,,,"viaduto evelyn ribeiro, 56",dom silverio,MG
Ana Laura Silva,485.***.***-47,,,"campo de farias, 77",paulo vi,AM
